file,integratedLUFS,LRA,shortTermLUFS,momentaryLUFS,truePeak_dBTP,speechLUFS,speechRatio,LD,dialogueRisk
seq-3341-10-14-24bit.wav,-53.5905422238618,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-15-24bit.wav,-55.6080593172535,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,-28.1522304913051,0.686885245901639,1.63115756878639,0
seq-3341-10-16-24bit.wav,-55.6300536950641,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,-28.1522304913051,0.6704,1.73665934879553,0
seq-3341-10-17-24bit.wav,-57.4814794077578,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,-28.1522304913051,0.6546875,1.8396588718697,0
seq-3341-10-18-24bit.wav,-57.4721930884082,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,-28.1522304913051,0.63969465648855,1.94027208862471,0
seq-3341-10-19-24bit.wav,-59.1792663647773,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,-28.1522304913051,0.625373134328358,2.03860707239119,0
seq-3341-10-2-24bit.wav,-37.7673977297265,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-20-24bit.wav,-59.1442888454435,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,-28.1522304913051,0.611678832116788,2.13476471698324,0
seq-3341-10-3-24bit.wav,-38.4662606044155,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-4-24bit.wav,-38.91600846765,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-5-24bit.wav,-42.3198470473974,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-6-24bit.wav,-42.6513443328675,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-7-24bit.wav,-45.6707875328394,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-8-24bit.wav,-45.909828811036,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-9-24bit.wav,-48.611408775166,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-11-24bit.wav,-59.8287412544489,69.0002149465562,-22.875471055599,-24.7418104488943,-18.9944753767779,-30.2836874993985,0.689666666666667,1.61360675095786,0
seq-3341-12-24bit.wav,-26.6679244414987,7.105427357601e-14,-26.6679234764047,-26.6679234764047,-19.9944705540917,-26.6829737235835,0.877,-0.0145864220580449,0
seq-3341-14-24bit.wav.wav,-38.3354991837915,21.0439584177629,-30.0403725616305,-22.9234137697019,-18.9944753767779,-32.3684728535957,0.968125,-0.47117860323937,0
seq-3341-2-16bit.wav,-36.6678759772591,0.000143127903072582,-36.6678687836874,-36.6678876061274,-32.9129693155807,NaN,0,NaN,1
seq-3341-2011-8_seq-3342-6-24bit-v02.wav,-31.7768912126903,17.1248354995873,-26.4310211481285,-25.6885383705575,-3.34921163971256,-26.1977145299404,0.414560421718046,2.42407187888366,0
seq-3341-3-16bit-v02.wav,-29.8884477352568,12.9980908328145,-39.6990814918862,-39.6990814918862,-22.4487648966988,NaN,0,NaN,1
seq-3341-4-16bit-v02.wav,-38.866719562095,48.9203599295418,-75.6213505886137,-75.6213505886136,-22.4487648966988,NaN,0,NaN,1
seq-3341-5-16bit-v02.wav,-27.6765323321635,6.00140894236382,-29.702030704524,-29.7020307045239,-19.449849301776,-23.8869111847086,0.354242928452579,2.81098797727684,0
seq-3341-6-5channels-16bit.wav,-31.4052994243337,0,-31.4052984329456,-31.4052984329456,-27.7006572077777,NaN,0,NaN,1
seq-3341-6-6channels-WAVEEX-16bit.wav,-32.9889243452857,0,-32.9889233538976,-32.9889233538975,-29.2842821287302,NaN,0,NaN,1
seq-3341-7_seq-3342-5-24bit.wav,-27.0131426453024,6.74858304201335,-26.1585833982487,-28.3436058416309,-9.01816058777698,-23.600392826435,0.00178571694303117,2.74585235300886,1
seq-3341-9-24bit.wav,-28.8186623192877,9.99999387661073,-28.7735393797252,-33.7007130074673,-19.9944705540917,-26.4350177119102,0.928666666666667,0.259246191300349,0
seq-3342-1-16bit.wav,-28.6850081428435,10.0011051230428,-33.7017268852029,-33.7017268852029,-19.9939424965157,-23.8146784344062,0.51475,2.48299970667968,0
seq-3342-2-16bit.wav,-21.1965409777361,4.99937336789403,-18.7012483942661,-18.7012483942661,-14.9945709623603,NaN,0,NaN,1
seq-3342-3-16bit.wav,-33.6480267883997,19.995046050205,-23.7006217621601,-23.7006217621601,-19.9939424965157,-23.8282725787737,0.515,2.83996930098156,0
seq-3342-4-16bit.wav,-41.6086691899805,29.9893325082726,-53.6899542704327,-53.6899542704328,-19.449849301776,-23.9440489365456,0.2119,6.4722952885026,0
